SampleName,agilent_signal_01,twist_signal_02,corona2_signal_03,agilent_signal_04,twist_signal_05,corona2_signal_06,twist_noise_001,corona2_noise_002,agilent_noise_003,twist_noise_004,corona2_noise_005,agilent_noise_006,twist_noise_007,corona2_noise_008,agilent_noise_009,twist_noise_010,corona2_noise_011,agilent_noise_012,twist_noise_013,corona2_noise_014,agilent_noise_015,twist_noise_016,corona2_noise_017,agilent_noise_018,twist_noise_019,corona2_noise_020,agilent_noise_021,twist_noise_022,corona2_noise_023,agilent_noise_024,twist_noise_025,corona2_noise_026,agilent_noise_027,twist_noise_028,corona2_noise_029,agilent_noise_030,twist_noise_031,corona2_noise_032,agilent_noise_033,twist_noise_034,corona2_noise_035,agilent_noise_036,twist_noise_037,corona2_noise_038,agilent_noise_039,twist_noise_040,corona2_noise_041,agilent_noise_042,twist_noise_043,corona2_noise_044,agilent_noise_045,twist_noise_046,corona2_noise_047,agilent_noise_048,twist_noise_049,corona2_noise_050,agilent_noise_051,twist_noise_052,corona2_noise_053,agilent_noise_054,twist_noise_055,corona2_noise_056,agilent_noise_057,twist_noise_058,corona2_noise_059,agilent_noise_060,twist_noise_061,corona2_noise_062,agilent_noise_063,twist_noise_064,corona2_noise_065,agilent_noise_066,twist_noise_067,corona2_noise_068,agilent_noise_069,twist_noise_070,corona2_noise_071,agilent_noise_072,twist_noise_073,corona2_noise_074
noisy_training_001,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
noisy_training_002,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
noisy_training_003,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0
noisy_training_004,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
noisy_training_005,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0
noisy_training_006,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
noisy_training_007,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
noisy_training_008,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
noisy_training_009,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1
noisy_training_010,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0
