peptide_id,Description,Role,Species,Protein,is_demo_signal
agilent_signal_01,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True
twist_signal_02,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True
corona2_signal_03,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True
agilent_signal_04,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True
twist_signal_05,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True
corona2_signal_06,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True
twist_noise_001,Noise peptide 1,independent noise,Simulated organism,Synthetic protein 4,False
corona2_noise_002,Noise peptide 2,independent noise,Simulated organism,Synthetic protein 4,False
agilent_noise_003,Noise peptide 3,independent noise,Simulated organism,Synthetic protein 5,False
twist_noise_004,Noise peptide 4,independent noise,Simulated organism,Synthetic protein 5,False
corona2_noise_005,Noise peptide 5,independent noise,Simulated organism,Synthetic protein 6,False
agilent_noise_006,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False
twist_noise_007,Noise peptide 7,independent noise,Simulated organism,Synthetic protein 7,False
corona2_noise_008,Noise peptide 8,independent noise,Simulated organism,Synthetic protein 7,False
agilent_noise_009,Noise peptide 9,independent noise,Simulated organism,Synthetic protein 8,False
twist_noise_010,Noise peptide 10,independent noise,Simulated organism,Synthetic protein 8,False
corona2_noise_011,Noise peptide 11,independent noise,Simulated organism,Synthetic protein 9,False
agilent_noise_012,Noise peptide 12,independent noise,Simulated organism,Synthetic protein 9,False
twist_noise_013,Noise peptide 13,independent noise,Simulated organism,Synthetic protein 10,False
corona2_noise_014,Noise peptide 14,independent noise,Simulated organism,Synthetic protein 10,False
agilent_noise_015,Noise peptide 15,independent noise,Simulated organism,Synthetic protein 11,False
twist_noise_016,Noise peptide 16,independent noise,Simulated organism,Synthetic protein 11,False
corona2_noise_017,Noise peptide 17,independent noise,Simulated organism,Synthetic protein 12,False
agilent_noise_018,Noise peptide 18,independent noise,Simulated organism,Synthetic protein 12,False
twist_noise_019,Noise peptide 19,independent noise,Simulated organism,Synthetic protein 13,False
corona2_noise_020,Noise peptide 20,independent noise,Simulated organism,Synthetic protein 13,False
agilent_noise_021,Noise peptide 21,independent noise,Simulated organism,Synthetic protein 14,False
twist_noise_022,Noise peptide 22,independent noise,Simulated organism,Synthetic protein 14,False
corona2_noise_023,Noise peptide 23,independent noise,Simulated organism,Synthetic protein 15,False
agilent_noise_024,Noise peptide 24,independent noise,Simulated organism,Synthetic protein 15,False
twist_noise_025,Noise peptide 25,independent noise,Simulated organism,Synthetic protein 16,False
corona2_noise_026,Noise peptide 26,independent noise,Simulated organism,Synthetic protein 16,False
agilent_noise_027,Noise peptide 27,independent noise,Simulated organism,Synthetic protein 17,False
twist_noise_028,Noise peptide 28,independent noise,Simulated organism,Synthetic protein 17,False
corona2_noise_029,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False
agilent_noise_030,Noise peptide 30,independent noise,Simulated organism,Synthetic protein 18,False
twist_noise_031,Noise peptide 31,independent noise,Simulated organism,Synthetic protein 19,False
corona2_noise_032,Noise peptide 32,independent noise,Simulated organism,Synthetic protein 19,False
agilent_noise_033,Noise peptide 33,independent noise,Simulated organism,Synthetic protein 20,False
twist_noise_034,Noise peptide 34,independent noise,Simulated organism,Synthetic protein 20,False
corona2_noise_035,Noise peptide 35,independent noise,Simulated organism,Synthetic protein 21,False
agilent_noise_036,Noise peptide 36,independent noise,Simulated organism,Synthetic protein 21,False
twist_noise_037,Noise peptide 37,independent noise,Simulated organism,Synthetic protein 22,False
corona2_noise_038,Noise peptide 38,independent noise,Simulated organism,Synthetic protein 22,False
agilent_noise_039,Noise peptide 39,independent noise,Simulated organism,Synthetic protein 23,False
twist_noise_040,Noise peptide 40,independent noise,Simulated organism,Synthetic protein 23,False
corona2_noise_041,Noise peptide 41,independent noise,Simulated organism,Synthetic protein 24,False
agilent_noise_042,Noise peptide 42,independent noise,Simulated organism,Synthetic protein 24,False
twist_noise_043,Noise peptide 43,independent noise,Simulated organism,Synthetic protein 25,False
corona2_noise_044,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False
agilent_noise_045,Noise peptide 45,independent noise,Simulated organism,Synthetic protein 26,False
twist_noise_046,Noise peptide 46,independent noise,Simulated organism,Synthetic protein 26,False
corona2_noise_047,Noise peptide 47,independent noise,Simulated organism,Synthetic protein 27,False
agilent_noise_048,Noise peptide 48,independent noise,Simulated organism,Synthetic protein 27,False
twist_noise_049,Noise peptide 49,independent noise,Simulated organism,Synthetic protein 28,False
corona2_noise_050,Noise peptide 50,independent noise,Simulated organism,Synthetic protein 28,False
agilent_noise_051,Noise peptide 51,independent noise,Simulated organism,Synthetic protein 29,False
twist_noise_052,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False
corona2_noise_053,Noise peptide 53,independent noise,Simulated organism,Synthetic protein 30,False
agilent_noise_054,Noise peptide 54,independent noise,Simulated organism,Synthetic protein 30,False
twist_noise_055,Noise peptide 55,independent noise,Simulated organism,Synthetic protein 31,False
corona2_noise_056,Noise peptide 56,independent noise,Simulated organism,Synthetic protein 31,False
agilent_noise_057,Noise peptide 57,independent noise,Simulated organism,Synthetic protein 32,False
twist_noise_058,Noise peptide 58,independent noise,Simulated organism,Synthetic protein 32,False
corona2_noise_059,Noise peptide 59,independent noise,Simulated organism,Synthetic protein 33,False
agilent_noise_060,Noise peptide 60,independent noise,Simulated organism,Synthetic protein 33,False
twist_noise_061,Noise peptide 61,independent noise,Simulated organism,Synthetic protein 34,False
corona2_noise_062,Noise peptide 62,independent noise,Simulated organism,Synthetic protein 34,False
agilent_noise_063,Noise peptide 63,independent noise,Simulated organism,Synthetic protein 35,False
twist_noise_064,Noise peptide 64,independent noise,Simulated organism,Synthetic protein 35,False
corona2_noise_065,Noise peptide 65,independent noise,Simulated organism,Synthetic protein 36,False
agilent_noise_066,Noise peptide 66,independent noise,Simulated organism,Synthetic protein 36,False
twist_noise_067,Noise peptide 67,independent noise,Simulated organism,Synthetic protein 37,False
corona2_noise_068,Noise peptide 68,independent noise,Simulated organism,Synthetic protein 37,False
agilent_noise_069,Noise peptide 69,independent noise,Simulated organism,Synthetic protein 38,False
twist_noise_070,Noise peptide 70,independent noise,Simulated organism,Synthetic protein 38,False
corona2_noise_071,Noise peptide 71,independent noise,Simulated organism,Synthetic protein 39,False
agilent_noise_072,Noise peptide 72,independent noise,Simulated organism,Synthetic protein 39,False
twist_noise_073,Noise peptide 73,independent noise,Simulated organism,Synthetic protein 40,False
corona2_noise_074,Noise peptide 74,independent noise,Simulated organism,Synthetic protein 40,False
