2026-09-08 19:37:34,966 | INFO | phipml.cli.train_test | Preparing the training cohort
2026-09-08 19:37:35,006 | INFO | phipml.classification.train_test_utils | Training prevalence filter: 84 -> 84 features
2026-09-08 19:37:35,007 | INFO | phipml.cli.train_test | Final training data: samples=160, features=84
2026-09-08 19:37:35,007 | INFO | phipml.classification.helpers | Peptide features: 80
2026-09-08 19:37:35,007 | INFO | phipml.classification.helpers | Additional features: ['Sex', 'Smoking', 'Age', 'BMI']
2026-09-08 19:37:35,009 | INFO | phipml.cli.train_test | No hyperparameter grid configured
2026-09-08 19:37:35,720 | INFO | phipml.classification.helpers | Mean ROC-AUC across folds: 0.917 ± 0.032
2026-09-08 19:37:35,720 | INFO | phipml.classification.helpers | Mean Average Precision (AP) across folds: 0.916 ± 0.028
2026-09-08 19:37:35,720 | INFO | phipml.classification.helpers | Out-of-fold classification metrics at threshold 0.50: accuracy=0.800, balanced_accuracy=0.800, precision=0.779, recall/sensitivity=0.838, specificity=0.762, F1=0.807, MCC=0.602
2026-09-08 19:37:35,720 | INFO | phipml.classification.helpers | Out-of-fold classification metrics confusion matrix: TN=61, FP=19, FN=13, TP=67
2026-09-08 19:37:35,720 | INFO | phipml.classification.helpers | Outer-fold classification variability: accuracy=0.800 ± 0.010, F1=0.807 ± 0.013, MCC=0.604 ± 0.019
2026-09-08 19:37:35,828 | INFO | phipml.cli.train_test | Saved /workspace/scratch/c93a153da023/phipml-tutorial-932f14f/results/random-forest/repeated_noisy/nested_random-forest_02_noisy_422.joblib
2026-09-08 19:37:35,828 | INFO | phipml.cli.train_test | Nested CV completed in 0.82 seconds
