Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
twist_signal_05,peptide,Prevalence (%),27.500000000000004,80.0,52.5,percentage points,0.08555058390612397,0.0016075205197915881,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True,0.08555058390612397,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_signal_03,peptide,Prevalence (%),27.500000000000004,70.0,42.5,percentage points,0.06121517507514067,0.0003699704413392006,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True,0.06121517507514067,0.0,100.0,100.0,2,1,1,100.0,2.0,10,True,mean-abs-shap
corona2_signal_06,peptide,Prevalence (%),75.0,31.25,-43.75,percentage points,0.060431607784184806,-0.0007383054120192988,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True,0.060431607784184806,0.0,100.0,100.0,3,1,1,100.0,3.0,10,True,mean-abs-shap
agilent_signal_01,peptide,Prevalence (%),35.0,72.5,37.5,percentage points,0.0526189867811251,0.0009812684449605588,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,0.0526189867811251,0.0,100.0,100.0,4,1,1,100.0,4.0,10,True,mean-abs-shap
twist_signal_02,peptide,Prevalence (%),72.5,32.5,-40.0,percentage points,0.050974735137862326,0.0021725481993769206,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True,0.050974735137862326,0.0,100.0,100.0,5,1,1,100.0,5.0,10,True,mean-abs-shap
agilent_signal_04,peptide,Prevalence (%),68.75,31.25,-37.5,percentage points,0.047595897756416684,-0.0020043067378185215,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True,0.047595897756416684,0.0,100.0,100.0,6,1,1,100.0,6.0,10,True,mean-abs-shap
agilent_noise_024,peptide,Prevalence (%),31.25,10.0,-21.25,percentage points,0.01921191442187164,0.0027041438260857658,Noise peptide 24,independent noise,Simulated organism,Synthetic protein 15,False,0.01921191442187164,0.0,100.0,100.0,7,1,1,100.0,7.0,10,True,mean-abs-shap
agilent_noise_006,peptide,Prevalence (%),30.0,52.5,22.5,percentage points,0.018006055054962923,-0.0002062280563857078,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False,0.018006055054962923,0.0,100.0,100.0,8,1,1,100.0,8.0,10,True,mean-abs-shap
BMI,continuous clinical,Mean,24.979999999999997,25.223750000000003,0.24375000000000568,feature units,0.013697953416503237,-0.003979808169722134,,,,,,0.013697953416503237,0.0,100.0,100.0,9,1,1,100.0,9.0,10,True,mean-abs-shap
Age,continuous clinical,Mean,50.5225,50.8475,0.32499999999999574,feature units,0.012672045628413156,-0.000782117738917865,,,,,,0.012672045628413156,0.0,100.0,100.0,10,1,1,100.0,10.0,10,True,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),40.0,27.500000000000004,-12.499999999999996,percentage points,0.012184256190090628,0.0019404702650062736,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.012184256190090628,0.0,100.0,100.0,11,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_072,peptide,Prevalence (%),35.0,21.25,-13.75,percentage points,0.00975570615356088,0.0005674220866616773,Noise peptide 72,independent noise,Simulated organism,Synthetic protein 39,False,0.00975570615356088,0.0,100.0,100.0,12,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_011,peptide,Prevalence (%),38.75,47.5,8.75,percentage points,0.008927155979941813,0.000568774783482318,Noise peptide 11,independent noise,Simulated organism,Synthetic protein 9,False,0.008927155979941813,0.0,100.0,100.0,13,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_029,peptide,Prevalence (%),41.25,53.75,12.5,percentage points,0.008439952951477725,0.0006248290157948666,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False,0.008439952951477725,0.0,100.0,100.0,14,0,1,0.0,,10,False,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),61.25000000000001,51.24999999999999,-10.000000000000014,percentage points,0.008041379417445472,-0.0010379672503544317,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.008041379417445472,0.0,100.0,100.0,15,0,1,0.0,,10,False,mean-abs-shap
twist_noise_046,peptide,Prevalence (%),32.5,42.5,10.0,percentage points,0.007726203167781385,0.0005690662581164703,Noise peptide 46,independent noise,Simulated organism,Synthetic protein 26,False,0.007726203167781385,0.0,100.0,66.66666666666667,16,0,1,0.0,,10,False,mean-abs-shap
twist_noise_037,peptide,Prevalence (%),22.5,36.25,13.75,percentage points,0.00755093030725303,0.0007638152018828168,Noise peptide 37,independent noise,Simulated organism,Synthetic protein 22,False,0.00755093030725303,0.0,100.0,66.66666666666667,17,0,1,0.0,,10,False,mean-abs-shap
twist_noise_055,peptide,Prevalence (%),42.5,32.5,-10.0,percentage points,0.00686349315147015,0.0012463771076578188,Noise peptide 55,independent noise,Simulated organism,Synthetic protein 31,False,0.00686349315147015,0.0,100.0,100.0,18,0,1,0.0,,10,False,mean-abs-shap
twist_noise_016,peptide,Prevalence (%),33.75,27.500000000000004,-6.2499999999999964,percentage points,0.00590918660880206,-0.00022496659217532394,Noise peptide 16,independent noise,Simulated organism,Synthetic protein 11,False,0.00590918660880206,0.0,100.0,100.0,19,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_060,peptide,Prevalence (%),32.5,37.5,5.0,percentage points,0.0058711066591809425,0.001108389292492539,Noise peptide 60,independent noise,Simulated organism,Synthetic protein 33,False,0.0058711066591809425,0.0,100.0,66.66666666666667,20,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_066,peptide,Prevalence (%),58.75,47.5,-11.25,percentage points,0.0057372101716497165,-0.0003104976425473951,Noise peptide 66,independent noise,Simulated organism,Synthetic protein 36,False,0.0057372101716497165,0.0,100.0,66.66666666666667,21,0,1,0.0,,10,False,mean-abs-shap
twist_noise_028,peptide,Prevalence (%),30.0,21.25,-8.75,percentage points,0.005719714057767929,-4.34592437376781e-05,Noise peptide 28,independent noise,Simulated organism,Synthetic protein 17,False,0.005719714057767929,0.0,100.0,100.0,22,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_002,peptide,Prevalence (%),45.0,36.25,-8.75,percentage points,0.005701736390922611,0.0002748691624219164,Noise peptide 2,independent noise,Simulated organism,Synthetic protein 4,False,0.005701736390922611,0.0,100.0,100.0,23,0,1,0.0,,10,False,mean-abs-shap
twist_noise_007,peptide,Prevalence (%),38.75,27.500000000000004,-11.249999999999996,percentage points,0.005582845662646475,-0.0008268335412995662,Noise peptide 7,independent noise,Simulated organism,Synthetic protein 7,False,0.005582845662646475,0.0,100.0,66.66666666666667,24,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_051,peptide,Prevalence (%),50.0,43.75,-6.25,percentage points,0.005570620824235087,-0.0009948786330904768,Noise peptide 51,independent noise,Simulated organism,Synthetic protein 29,False,0.005570620824235087,0.0,100.0,66.66666666666667,25,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_059,peptide,Prevalence (%),41.25,31.25,-10.0,percentage points,0.005507315764444417,2.2103208741652142e-05,Noise peptide 59,independent noise,Simulated organism,Synthetic protein 33,False,0.005507315764444417,0.0,100.0,66.66666666666667,26,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_023,peptide,Prevalence (%),30.0,21.25,-8.75,percentage points,0.005342548107430983,-0.0002674181482383443,Noise peptide 23,independent noise,Simulated organism,Synthetic protein 15,False,0.005342548107430983,0.0,100.0,66.66666666666667,27,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_005,peptide,Prevalence (%),40.0,46.25,6.25,percentage points,0.005065000129094992,-0.0011550666484942927,Noise peptide 5,independent noise,Simulated organism,Synthetic protein 6,False,0.005065000129094992,0.0,100.0,66.66666666666667,28,0,1,0.0,,10,False,mean-abs-shap
twist_noise_025,peptide,Prevalence (%),13.750000000000002,20.0,6.249999999999998,percentage points,0.00502920251750941,-0.0008788617564787843,Noise peptide 25,independent noise,Simulated organism,Synthetic protein 16,False,0.00502920251750941,0.0,100.0,100.0,29,0,1,0.0,,10,False,mean-abs-shap
