Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
twist_signal_05,peptide,Prevalence (%),27.500000000000004,80.0,52.5,percentage points,0.1034089470180223,0.007237409278050791,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True,0.1034089470180223,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_signal_06,peptide,Prevalence (%),75.0,31.25,-43.75,percentage points,0.0595779137805027,-0.0036545578247121763,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True,0.0595779137805027,0.0,100.0,100.0,2,1,1,100.0,2.0,10,True,mean-abs-shap
corona2_signal_03,peptide,Prevalence (%),27.500000000000004,70.0,42.5,percentage points,0.055508810053526224,-0.0008502539479337837,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True,0.055508810053526224,0.0,100.0,100.0,3,1,1,100.0,3.0,10,True,mean-abs-shap
twist_signal_02,peptide,Prevalence (%),72.5,32.5,-40.0,percentage points,0.04686235028252685,0.0015535506488049435,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True,0.04686235028252685,0.0,100.0,100.0,4,1,1,100.0,4.0,10,True,mean-abs-shap
agilent_signal_01,peptide,Prevalence (%),35.0,72.5,37.5,percentage points,0.046573389557457434,-0.0025089072143448855,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,0.046573389557457434,0.0,100.0,100.0,5,1,1,100.0,5.0,10,True,mean-abs-shap
agilent_signal_04,peptide,Prevalence (%),68.75,31.25,-37.5,percentage points,0.0434855245744317,0.002225596970427052,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True,0.0434855245744317,0.0,100.0,100.0,6,1,1,100.0,6.0,10,True,mean-abs-shap
agilent_noise_006,peptide,Prevalence (%),30.0,52.5,22.5,percentage points,0.013959607625854265,-0.000582955434347033,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False,0.013959607625854265,0.0,100.0,100.0,7,1,1,100.0,7.0,10,True,mean-abs-shap
BMI,continuous clinical,Mean,24.979999999999997,25.223750000000003,0.24375000000000568,feature units,0.011971911009890434,-0.0005742814701135428,,,,,,0.011971911009890434,0.0,100.0,100.0,8,1,1,100.0,8.0,10,True,mean-abs-shap
agilent_noise_024,peptide,Prevalence (%),31.25,10.0,-21.25,percentage points,0.011545623302775195,0.00047371998861971793,Noise peptide 24,independent noise,Simulated organism,Synthetic protein 15,False,0.011545623302775195,0.0,100.0,100.0,9,1,1,100.0,9.0,10,True,mean-abs-shap
Age,continuous clinical,Mean,50.5225,50.8475,0.32499999999999574,feature units,0.011144309460077353,-0.0017992823220555495,,,,,,0.011144309460077353,0.0,100.0,100.0,10,1,1,100.0,10.0,10,True,mean-abs-shap
corona2_noise_029,peptide,Prevalence (%),41.25,53.75,12.5,percentage points,0.009496090988162514,0.0010789885359732126,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False,0.009496090988162514,0.0,100.0,100.0,11,0,1,0.0,,10,False,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),61.25000000000001,51.24999999999999,-10.000000000000014,percentage points,0.007358959215535811,-0.0004348389198686875,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.007358959215535811,0.0,100.0,100.0,12,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),40.0,27.500000000000004,-12.499999999999996,percentage points,0.007023519752954023,0.0008293382222179047,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.007023519752954023,0.0,100.0,100.0,13,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_011,peptide,Prevalence (%),38.75,47.5,8.75,percentage points,0.0065215101473406895,0.0004205549703170672,Noise peptide 11,independent noise,Simulated organism,Synthetic protein 9,False,0.0065215101473406895,0.0,100.0,66.66666666666667,14,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_026,peptide,Prevalence (%),51.24999999999999,61.25000000000001,10.000000000000014,percentage points,0.006179670201382827,0.0006168424884461504,Noise peptide 26,independent noise,Simulated organism,Synthetic protein 16,False,0.006179670201382827,0.0,100.0,66.66666666666667,15,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_068,peptide,Prevalence (%),43.75,53.75,10.0,percentage points,0.0060721504512281236,-0.0005599445445256688,Noise peptide 68,independent noise,Simulated organism,Synthetic protein 37,False,0.0060721504512281236,0.0,100.0,66.66666666666667,16,0,1,0.0,,10,False,mean-abs-shap
