Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
twist_signal_05,peptide,Prevalence (%),32.5,70.0,37.5,percentage points,0.0972458392529624,-0.008006454962113024,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True,0.0972458392529624,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_signal_03,peptide,Prevalence (%),32.5,65.0,32.5,percentage points,0.0670852921268212,-0.0030601940962351934,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True,0.0670852921268212,0.0,100.0,100.0,2,1,1,100.0,2.0,10,True,mean-abs-shap
corona2_signal_06,peptide,Prevalence (%),60.0,60.0,0.0,percentage points,0.06449864080912908,-0.011753897012179581,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True,0.06449864080912908,0.0,100.0,100.0,3,1,1,100.0,3.0,10,True,mean-abs-shap
agilent_signal_04,peptide,Prevalence (%),67.5,37.5,-30.0,percentage points,0.05275907859886318,-0.0016653006109102393,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True,0.05275907859886318,0.0,100.0,100.0,4,1,1,100.0,4.0,10,True,mean-abs-shap
twist_signal_02,peptide,Prevalence (%),62.5,47.5,-15.0,percentage points,0.04927480016262443,-0.0024494869976120132,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True,0.04927480016262443,0.0,100.0,100.0,5,1,1,100.0,5.0,10,True,mean-abs-shap
agilent_signal_01,peptide,Prevalence (%),27.500000000000004,62.5,35.0,percentage points,0.047286542430080604,-0.005909551373647623,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,0.047286542430080604,0.0,100.0,100.0,6,1,1,100.0,6.0,10,True,mean-abs-shap
BMI,continuous clinical,Mean,24.567500000000003,24.640000000000004,0.07250000000000156,feature units,0.02091845742782012,-0.0037690087520978327,,,,,,0.02091845742782012,0.0,100.0,100.0,7,1,1,100.0,7.0,10,True,mean-abs-shap
agilent_noise_006,peptide,Prevalence (%),32.5,37.5,5.0,percentage points,0.019657940818683307,-0.0018515147199812767,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False,0.019657940818683307,0.0,100.0,100.0,8,1,1,100.0,8.0,10,True,mean-abs-shap
agilent_noise_024,peptide,Prevalence (%),25.0,20.0,-5.0,percentage points,0.017649605169812642,-0.0006180495114863641,Noise peptide 24,independent noise,Simulated organism,Synthetic protein 15,False,0.017649605169812642,0.0,100.0,100.0,9,1,1,100.0,9.0,10,True,mean-abs-shap
corona2_noise_029,peptide,Prevalence (%),42.5,47.5,5.0,percentage points,0.01167180659436178,0.00018391994661569764,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False,0.01167180659436178,0.0,100.0,100.0,10,1,1,100.0,10.0,10,True,mean-abs-shap
twist_noise_037,peptide,Prevalence (%),25.0,40.0,15.0,percentage points,0.011613912227720083,0.0004428356272184105,Noise peptide 37,independent noise,Simulated organism,Synthetic protein 22,False,0.011613912227720083,0.0,100.0,100.0,11,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),32.5,40.0,7.5,percentage points,0.011446012819258328,0.0006637523274455428,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.011446012819258328,0.0,100.0,100.0,12,0,1,0.0,,10,False,mean-abs-shap
twist_noise_046,peptide,Prevalence (%),40.0,42.5,2.5,percentage points,0.007983236978715443,0.000493950962428225,Noise peptide 46,independent noise,Simulated organism,Synthetic protein 26,False,0.007983236978715443,0.0,100.0,100.0,13,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_023,peptide,Prevalence (%),37.5,30.0,-7.5,percentage points,0.007864682649076048,-0.00232538399337639,Noise peptide 23,independent noise,Simulated organism,Synthetic protein 15,False,0.007864682649076048,0.0,100.0,100.0,14,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_068,peptide,Prevalence (%),52.5,45.0,-7.5,percentage points,0.007721037884782692,0.0010845585421829025,Noise peptide 68,independent noise,Simulated organism,Synthetic protein 37,False,0.007721037884782692,0.0,100.0,100.0,15,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_072,peptide,Prevalence (%),32.5,40.0,7.5,percentage points,0.007606538419358771,-0.000908840861036276,Noise peptide 72,independent noise,Simulated organism,Synthetic protein 39,False,0.007606538419358771,0.0,100.0,100.0,16,0,1,0.0,,10,False,mean-abs-shap
Age,continuous clinical,Mean,53.495000000000005,54.13000000000001,0.6350000000000051,feature units,0.007486701794383356,-0.0012915039354793195,,,,,,0.007486701794383356,0.0,100.0,100.0,17,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_059,peptide,Prevalence (%),32.5,25.0,-7.5,percentage points,0.0074242474444458475,0.0014195841224069763,Noise peptide 59,independent noise,Simulated organism,Synthetic protein 33,False,0.0074242474444458475,0.0,100.0,100.0,18,0,1,0.0,,10,False,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),50.0,60.0,10.0,percentage points,0.007227648726643535,0.0011726945369742348,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.007227648726643535,0.0,100.0,100.0,19,0,1,0.0,,10,False,mean-abs-shap
twist_noise_007,peptide,Prevalence (%),40.0,22.5,-17.5,percentage points,0.007057265529600784,0.0009996510066751121,Noise peptide 7,independent noise,Simulated organism,Synthetic protein 7,False,0.007057265529600784,0.0,100.0,100.0,20,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_051,peptide,Prevalence (%),40.0,42.5,2.5,percentage points,0.007025993193744863,0.0007529777769559711,Noise peptide 51,independent noise,Simulated organism,Synthetic protein 29,False,0.007025993193744863,0.0,100.0,100.0,21,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_066,peptide,Prevalence (%),52.5,67.5,15.0,percentage points,0.006958217505340272,-0.0008551496924367689,Noise peptide 66,independent noise,Simulated organism,Synthetic protein 36,False,0.006958217505340272,0.0,100.0,100.0,22,0,1,0.0,,10,False,mean-abs-shap
twist_noise_055,peptide,Prevalence (%),50.0,42.5,-7.5,percentage points,0.006789399255133975,-0.0004988778457029508,Noise peptide 55,independent noise,Simulated organism,Synthetic protein 31,False,0.006789399255133975,0.0,100.0,100.0,23,0,1,0.0,,10,False,mean-abs-shap
twist_noise_028,peptide,Prevalence (%),32.5,27.500000000000004,-4.9999999999999964,percentage points,0.006648965573355091,-0.0008686230028089973,Noise peptide 28,independent noise,Simulated organism,Synthetic protein 17,False,0.006648965573355091,0.0,100.0,100.0,24,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_071,peptide,Prevalence (%),17.5,15.0,-2.5,percentage points,0.006544739678828617,0.0023222956732345435,Noise peptide 71,independent noise,Simulated organism,Synthetic protein 39,False,0.006544739678828617,0.0,100.0,100.0,25,0,1,0.0,,10,False,mean-abs-shap
