Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
agilent_signal_01,peptide,Prevalence (%),27.500000000000004,62.5,35.0,percentage points,0.036999947709469655,-0.006058359509416168,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,0.036999947709469655,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_signal_03,peptide,Prevalence (%),32.5,65.0,32.5,percentage points,0.03635580148062596,0.0005309857328111449,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True,0.03635580148062596,0.0,100.0,100.0,2,1,1,100.0,2.0,10,True,mean-abs-shap
agilent_signal_04,peptide,Prevalence (%),67.5,37.5,-30.0,percentage points,0.03423357168924957,-0.002711806108444741,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True,0.03423357168924957,0.0,100.0,100.0,3,1,1,100.0,3.0,10,True,mean-abs-shap
corona2_signal_06,peptide,Prevalence (%),60.0,60.0,0.0,percentage points,0.03278224872437219,-0.004474869215340308,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True,0.03278224872437219,0.0,100.0,100.0,4,1,1,100.0,4.0,10,True,mean-abs-shap
twist_signal_05,peptide,Prevalence (%),32.5,70.0,37.5,percentage points,0.031616999224026596,-1.463012684359017e-05,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True,0.031616999224026596,0.0,100.0,100.0,5,1,1,100.0,5.0,10,True,mean-abs-shap
twist_signal_02,peptide,Prevalence (%),62.5,47.5,-15.0,percentage points,0.024291429219725078,-0.0016909977485193358,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True,0.024291429219725078,0.0,100.0,100.0,6,1,1,100.0,6.0,10,True,mean-abs-shap
BMI,continuous clinical,Mean,24.567500000000003,24.640000000000004,0.07250000000000156,feature units,0.010041186762211152,-0.001336086082429775,,,,,,0.010041186762211152,0.0,100.0,100.0,7,1,1,100.0,7.0,10,True,mean-abs-shap
agilent_noise_006,peptide,Prevalence (%),32.5,37.5,5.0,percentage points,0.010036889985076295,-0.0014535524337356998,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False,0.010036889985076295,0.0,100.0,100.0,8,1,1,100.0,8.0,10,True,mean-abs-shap
agilent_noise_024,peptide,Prevalence (%),25.0,20.0,-5.0,percentage points,0.008531594748285288,-0.00032494922549845573,Noise peptide 24,independent noise,Simulated organism,Synthetic protein 15,False,0.008531594748285288,0.0,100.0,100.0,9,1,1,100.0,9.0,10,True,mean-abs-shap
corona2_noise_029,peptide,Prevalence (%),42.5,47.5,5.0,percentage points,0.006785457185242885,-0.0005083418422180449,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False,0.006785457185242885,0.0,100.0,100.0,10,1,1,100.0,10.0,10,True,mean-abs-shap
twist_noise_007,peptide,Prevalence (%),40.0,22.5,-17.5,percentage points,0.006012849566178528,0.00035746957000342897,Noise peptide 7,independent noise,Simulated organism,Synthetic protein 7,False,0.006012849566178528,0.0,100.0,100.0,11,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_072,peptide,Prevalence (%),32.5,40.0,7.5,percentage points,0.005744666238102928,-0.0010193196055776049,Noise peptide 72,independent noise,Simulated organism,Synthetic protein 39,False,0.005744666238102928,0.0,100.0,100.0,12,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_066,peptide,Prevalence (%),52.5,67.5,15.0,percentage points,0.004944129351240535,-0.0005347655805553431,Noise peptide 66,independent noise,Simulated organism,Synthetic protein 36,False,0.004944129351240535,0.0,100.0,100.0,13,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_027,peptide,Prevalence (%),25.0,35.0,10.0,percentage points,0.0043349637725649485,0.00039414312105364704,Noise peptide 27,independent noise,Simulated organism,Synthetic protein 17,False,0.0043349637725649485,0.0,100.0,100.0,14,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_068,peptide,Prevalence (%),52.5,45.0,-7.5,percentage points,0.004245178818663224,0.00027872140386326206,Noise peptide 68,independent noise,Simulated organism,Synthetic protein 37,False,0.004245178818663224,0.0,100.0,100.0,15,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),32.5,40.0,7.5,percentage points,0.004192905060964264,-0.000331301307599467,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.004192905060964264,0.0,100.0,100.0,16,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_002,peptide,Prevalence (%),47.5,25.0,-22.5,percentage points,0.004066267432566976,0.0006673418287319263,Noise peptide 2,independent noise,Simulated organism,Synthetic protein 4,False,0.004066267432566976,0.0,100.0,100.0,17,0,1,0.0,,10,False,mean-abs-shap
twist_noise_046,peptide,Prevalence (%),40.0,42.5,2.5,percentage points,0.00395244534915962,0.00011961658784093911,Noise peptide 46,independent noise,Simulated organism,Synthetic protein 26,False,0.00395244534915962,0.0,100.0,100.0,18,0,1,0.0,,10,False,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),50.0,60.0,10.0,percentage points,0.0038046975544675913,0.00016718422612386973,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.0038046975544675913,0.0,100.0,100.0,19,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_059,peptide,Prevalence (%),32.5,25.0,-7.5,percentage points,0.003701401606686673,0.0006179602505211006,Noise peptide 59,independent noise,Simulated organism,Synthetic protein 33,False,0.003701401606686673,0.0,100.0,100.0,20,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_011,peptide,Prevalence (%),32.5,42.5,10.0,percentage points,0.003564109254701406,-0.0004140950272636565,Noise peptide 11,independent noise,Simulated organism,Synthetic protein 9,False,0.003564109254701406,0.0,100.0,100.0,21,0,1,0.0,,10,False,mean-abs-shap
twist_noise_037,peptide,Prevalence (%),25.0,40.0,15.0,percentage points,0.00338804193928753,0.000209569805041622,Noise peptide 37,independent noise,Simulated organism,Synthetic protein 22,False,0.00338804193928753,0.0,100.0,100.0,22,0,1,0.0,,10,False,mean-abs-shap
twist_noise_055,peptide,Prevalence (%),50.0,42.5,-7.5,percentage points,0.003364553093699079,-0.0007429735220937956,Noise peptide 55,independent noise,Simulated organism,Synthetic protein 31,False,0.003364553093699079,0.0,100.0,100.0,23,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_023,peptide,Prevalence (%),37.5,30.0,-7.5,percentage points,0.003291796785071513,-0.000942798771406606,Noise peptide 23,independent noise,Simulated organism,Synthetic protein 15,False,0.003291796785071513,0.0,100.0,100.0,24,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_051,peptide,Prevalence (%),40.0,42.5,2.5,percentage points,0.0028736067254257354,0.000384886376792502,Noise peptide 51,independent noise,Simulated organism,Synthetic protein 29,False,0.0028736067254257354,0.0,100.0,100.0,25,0,1,0.0,,10,False,mean-abs-shap
Age,continuous clinical,Mean,53.495000000000005,54.13000000000001,0.6350000000000051,feature units,0.0027031908909320333,0.001375508502017586,,,,,,0.0027031908909320333,0.0,100.0,100.0,26,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_071,peptide,Prevalence (%),17.5,15.0,-2.5,percentage points,0.002589181295499791,0.0004594058784125497,Noise peptide 71,independent noise,Simulated organism,Synthetic protein 39,False,0.002589181295499791,0.0,100.0,100.0,27,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_005,peptide,Prevalence (%),37.5,40.0,2.5,percentage points,0.0024965111730463063,-0.0002467408522625849,Noise peptide 5,independent noise,Simulated organism,Synthetic protein 6,False,0.0024965111730463063,0.0,100.0,100.0,28,0,1,0.0,,10,False,mean-abs-shap
