Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
twist_signal_05,peptide,Prevalence (%),27.500000000000004,80.0,52.5,percentage points,0.08570837889627674,0.0009032438490428612,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True,0.08570837889627674,0.0012051800350970831,100.0,100.0,1,3,3,100.0,1.0,10,True,top-k-frequency
corona2_signal_03,peptide,Prevalence (%),27.500000000000004,70.0,42.5,percentage points,0.06040108804436323,0.0010920957522512972,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True,0.06040108804436323,0.0010421569189252165,100.0,100.0,2,3,3,100.0,2.3333333333333335,10,True,top-k-frequency
corona2_signal_06,peptide,Prevalence (%),75.0,31.25,-43.75,percentage points,0.06359648132102395,-1.8635603034815666e-05,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True,0.06359648132102395,0.007369966135111322,100.0,100.0,3,3,3,100.0,2.6666666666666665,10,True,top-k-frequency
agilent_signal_01,peptide,Prevalence (%),35.0,72.5,37.5,percentage points,0.049665726787656926,0.0027627064277753483,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,0.049665726787656926,0.0033526922819511603,100.0,100.0,4,3,3,100.0,4.333333333333333,10,True,top-k-frequency
twist_signal_02,peptide,Prevalence (%),72.5,32.5,-40.0,percentage points,0.052824492324666045,0.00010671528047627339,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True,0.052824492324666045,0.004433547306512474,100.0,100.0,5,3,3,100.0,4.666666666666667,10,True,top-k-frequency
agilent_signal_04,peptide,Prevalence (%),68.75,31.25,-37.5,percentage points,0.046826703289905715,-0.002526508907577386,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True,0.046826703289905715,0.002226398497921571,100.0,100.0,6,3,3,100.0,6.0,10,True,top-k-frequency
agilent_noise_024,peptide,Prevalence (%),31.25,10.0,-21.25,percentage points,0.017563846742990896,0.002119020904324796,Noise peptide 24,independent noise,Simulated organism,Synthetic protein 15,False,0.017563846742990896,0.0016710629039733038,100.0,100.0,7,3,3,100.0,7.666666666666667,10,True,top-k-frequency
agilent_noise_006,peptide,Prevalence (%),30.0,52.5,22.5,percentage points,0.016557332147304607,-0.0011856221804451756,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False,0.016557332147304607,0.0016703007314112228,100.0,100.0,8,3,3,100.0,8.0,10,True,top-k-frequency
BMI,continuous clinical,Mean,24.979999999999997,25.223750000000003,0.24375000000000568,feature units,0.015578037184679433,-0.003801041126872537,,,,,,0.015578037184679433,0.002100413074237977,100.0,100.0,9,3,3,100.0,8.333333333333334,10,True,top-k-frequency
Age,continuous clinical,Mean,50.5225,50.8475,0.32499999999999574,feature units,0.011298079729098775,-0.0004306191771180636,,,,,,0.011298079729098775,0.0013282907081029105,100.0,100.0,10,1,3,33.333333333333336,10.0,10,False,top-k-frequency
corona2_noise_029,peptide,Prevalence (%),41.25,53.75,12.5,percentage points,0.009898412446967271,0.0013909921213675468,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False,0.009898412446967271,0.0014785908543947337,100.0,100.0,11,1,3,33.333333333333336,10.0,10,False,top-k-frequency
twist_noise_052,peptide,Prevalence (%),61.25000000000001,51.24999999999999,-10.000000000000014,percentage points,0.009402717099597285,-0.00018192746179603074,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.009402717099597285,0.0012673082247091126,100.0,100.0,12,1,3,33.333333333333336,10.0,10,False,top-k-frequency
corona2_noise_044,peptide,Prevalence (%),40.0,27.500000000000004,-12.499999999999996,percentage points,0.009801059136426682,0.0006352489290482388,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.009801059136426682,0.002461493858029656,100.0,100.0,13,0,3,0.0,,10,False,top-k-frequency
