Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
agilent_signal_01,peptide,Prevalence (%),0.0,100.0,100.0,percentage points,4.002198511362076,-7.748603820800782e-08,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,4.002198511362076,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_noise_056,peptide,Prevalence (%),45.0,36.25,-8.75,percentage points,0.0,0.0,Noise peptide 56,independent noise,Simulated organism,Synthetic protein 31,False,0.0,0.0,0.0,0.0,49,0,1,0.0,,10,False,mean-abs-shap
twist_noise_055,peptide,Prevalence (%),38.75,48.75,10.0,percentage points,0.0,0.0,Noise peptide 55,independent noise,Simulated organism,Synthetic protein 31,False,0.0,0.0,0.0,0.0,76,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_054,peptide,Prevalence (%),7.5,7.5,0.0,percentage points,0.0,0.0,Noise peptide 54,independent noise,Simulated organism,Synthetic protein 30,False,0.0,0.0,0.0,0.0,23,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_053,peptide,Prevalence (%),38.75,33.75,-5.0,percentage points,0.0,0.0,Noise peptide 53,independent noise,Simulated organism,Synthetic protein 30,False,0.0,0.0,0.0,0.0,48,0,1,0.0,,10,False,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),52.5,45.0,-7.5,percentage points,0.0,0.0,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.0,0.0,0.0,0.0,75,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_051,peptide,Prevalence (%),48.75,42.5,-6.25,percentage points,0.0,0.0,Noise peptide 51,independent noise,Simulated organism,Synthetic protein 29,False,0.0,0.0,0.0,0.0,22,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_050,peptide,Prevalence (%),23.75,26.25,2.5,percentage points,0.0,0.0,Noise peptide 50,independent noise,Simulated organism,Synthetic protein 28,False,0.0,0.0,0.0,0.0,47,0,1,0.0,,10,False,mean-abs-shap
twist_noise_049,peptide,Prevalence (%),47.5,46.25,-1.25,percentage points,0.0,0.0,Noise peptide 49,independent noise,Simulated organism,Synthetic protein 28,False,0.0,0.0,0.0,0.0,74,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_057,peptide,Prevalence (%),8.75,13.750000000000002,5.000000000000002,percentage points,0.0,0.0,Noise peptide 57,independent noise,Simulated organism,Synthetic protein 32,False,0.0,0.0,0.0,0.0,24,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_047,peptide,Prevalence (%),50.0,55.00000000000001,5.000000000000007,percentage points,0.0,0.0,Noise peptide 47,independent noise,Simulated organism,Synthetic protein 27,False,0.0,0.0,0.0,0.0,46,0,1,0.0,,10,False,mean-abs-shap
twist_noise_046,peptide,Prevalence (%),46.25,40.0,-6.25,percentage points,0.0,0.0,Noise peptide 46,independent noise,Simulated organism,Synthetic protein 26,False,0.0,0.0,0.0,0.0,73,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_045,peptide,Prevalence (%),38.75,43.75,5.0,percentage points,0.0,0.0,Noise peptide 45,independent noise,Simulated organism,Synthetic protein 26,False,0.0,0.0,0.0,0.0,20,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),31.25,33.75,2.5,percentage points,0.0,0.0,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.0,0.0,0.0,0.0,45,0,1,0.0,,10,False,mean-abs-shap
twist_noise_043,peptide,Prevalence (%),40.0,47.5,7.5,percentage points,0.0,0.0,Noise peptide 43,independent noise,Simulated organism,Synthetic protein 25,False,0.0,0.0,0.0,0.0,72,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_042,peptide,Prevalence (%),27.500000000000004,21.25,-6.2500000000000036,percentage points,0.0,0.0,Noise peptide 42,independent noise,Simulated organism,Synthetic protein 24,False,0.0,0.0,0.0,0.0,19,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_041,peptide,Prevalence (%),32.5,41.25,8.75,percentage points,0.0,0.0,Noise peptide 41,independent noise,Simulated organism,Synthetic protein 24,False,0.0,0.0,0.0,0.0,44,0,1,0.0,,10,False,mean-abs-shap
