Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
twist_signal_05,peptide,Prevalence (%),27.500000000000004,80.0,52.5,percentage points,1.5436056707054377,-0.013891756907105446,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True,1.5436056707054377,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_signal_03,peptide,Prevalence (%),27.500000000000004,70.0,42.5,percentage points,1.2248310560360551,-0.024665349908173085,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True,1.2248310560360551,0.0,100.0,100.0,2,1,1,100.0,2.0,10,True,mean-abs-shap
twist_signal_02,peptide,Prevalence (%),72.5,32.5,-40.0,percentage points,1.1018264435231686,0.04400717169046402,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True,1.1018264435231686,0.0,100.0,100.0,3,1,1,100.0,3.0,10,True,mean-abs-shap
corona2_signal_06,peptide,Prevalence (%),75.0,31.25,-43.75,percentage points,1.0392986886203288,0.020749561488628387,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True,1.0392986886203288,0.0,100.0,100.0,4,1,1,100.0,4.0,10,True,mean-abs-shap
agilent_signal_01,peptide,Prevalence (%),35.0,72.5,37.5,percentage points,0.8381135208532214,-0.053559702821075916,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,0.8381135208532214,0.0,100.0,100.0,5,1,1,100.0,5.0,10,True,mean-abs-shap
agilent_signal_04,peptide,Prevalence (%),68.75,31.25,-37.5,percentage points,0.7597469015046954,-0.06022587213665247,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True,0.7597469015046954,0.0,100.0,100.0,6,1,1,100.0,6.0,10,True,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),61.25000000000001,51.24999999999999,-10.000000000000014,percentage points,0.4080592124722898,-0.035089404042810204,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.4080592124722898,0.0,100.0,100.0,7,1,1,100.0,7.0,10,True,mean-abs-shap
BMI,continuous clinical,Mean,24.979999999999997,25.223750000000003,0.24375000000000568,feature units,0.3702500189538114,-0.05354060350218788,,,,,,0.3702500189538114,0.0,100.0,100.0,8,1,1,100.0,8.0,10,True,mean-abs-shap
agilent_noise_006,peptide,Prevalence (%),30.0,52.5,22.5,percentage points,0.25716767748817804,-0.020408914028666913,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False,0.25716767748817804,0.0,100.0,100.0,9,1,1,100.0,9.0,10,True,mean-abs-shap
corona2_noise_005,peptide,Prevalence (%),40.0,46.25,6.25,percentage points,0.24292418686673045,-0.029800577182322742,Noise peptide 5,independent noise,Simulated organism,Synthetic protein 6,False,0.24292418686673045,0.0,100.0,66.66666666666667,10,1,1,100.0,10.0,10,True,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),40.0,27.500000000000004,-12.499999999999996,percentage points,0.2158182718558237,0.018749924330040812,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.2158182718558237,0.0,100.0,100.0,11,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_002,peptide,Prevalence (%),45.0,36.25,-8.75,percentage points,0.2100875512114726,0.015807512460742145,Noise peptide 2,independent noise,Simulated organism,Synthetic protein 4,False,0.2100875512114726,0.0,100.0,100.0,12,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_059,peptide,Prevalence (%),41.25,31.25,-10.0,percentage points,0.1819804146885872,0.01089589111506939,Noise peptide 59,independent noise,Simulated organism,Synthetic protein 33,False,0.1819804146885872,0.0,100.0,66.66666666666667,13,0,1,0.0,,10,False,mean-abs-shap
Age,continuous clinical,Mean,50.5225,50.8475,0.32499999999999574,feature units,0.17710437306668608,-0.00958534813253209,,,,,,0.17710437306668608,0.0,100.0,100.0,14,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_029,peptide,Prevalence (%),41.25,53.75,12.5,percentage points,0.16286950996145605,0.009927001316100359,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False,0.16286950996145605,0.0,100.0,100.0,15,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_066,peptide,Prevalence (%),58.75,47.5,-11.25,percentage points,0.1483923306223005,-0.04280368438921869,Noise peptide 66,independent noise,Simulated organism,Synthetic protein 36,False,0.1483923306223005,0.0,100.0,66.66666666666667,16,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_024,peptide,Prevalence (%),31.25,10.0,-21.25,percentage points,0.14011821552412584,0.011946026526857167,Noise peptide 24,independent noise,Simulated organism,Synthetic protein 15,False,0.14011821552412584,0.0,100.0,100.0,17,0,1,0.0,,10,False,mean-abs-shap
