Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
twist_signal_05,peptide,Prevalence (%),27.500000000000004,80.0,52.5,percentage points,0.8455486269667745,0.018162250705063342,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True,0.8455486269667745,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_signal_03,peptide,Prevalence (%),27.500000000000004,70.0,42.5,percentage points,0.7145383404567838,-0.009695407189428806,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True,0.7145383404567838,0.0,100.0,100.0,2,1,1,100.0,2.0,10,True,mean-abs-shap
twist_signal_02,peptide,Prevalence (%),72.5,32.5,-40.0,percentage points,0.6149377748370171,0.026883381605148315,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True,0.6149377748370171,0.0,100.0,100.0,3,1,1,100.0,3.0,10,True,mean-abs-shap
corona2_signal_06,peptide,Prevalence (%),75.0,31.25,-43.75,percentage points,0.6020239010453224,-0.0025640405714511872,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True,0.6020239010453224,0.0,100.0,100.0,4,1,1,100.0,4.0,10,True,mean-abs-shap
agilent_signal_04,peptide,Prevalence (%),68.75,31.25,-37.5,percentage points,0.44707042118534446,0.0008901786990463733,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True,0.44707042118534446,0.0,100.0,100.0,5,1,1,100.0,5.0,10,True,mean-abs-shap
agilent_signal_01,peptide,Prevalence (%),35.0,72.5,37.5,percentage points,0.420833483338356,0.00526631586253643,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,0.420833483338356,0.0,100.0,100.0,6,1,1,100.0,6.0,10,True,mean-abs-shap
BMI,continuous clinical,Mean,24.979999999999997,25.223750000000003,0.24375000000000568,feature units,0.2377161219890695,-0.03542984434752725,,,,,,0.2377161219890695,0.0,100.0,100.0,7,1,1,100.0,7.0,10,True,mean-abs-shap
agilent_noise_066,peptide,Prevalence (%),58.75,47.5,-11.25,percentage points,0.09817452365532517,-0.019519150909036397,Noise peptide 66,independent noise,Simulated organism,Synthetic protein 36,False,0.09817452365532517,0.0,100.0,66.66666666666667,8,1,1,100.0,8.0,10,True,mean-abs-shap
Age,continuous clinical,Mean,50.5225,50.8475,0.32499999999999574,feature units,0.09604079468554119,0.006684762924851384,,,,,,0.09604079468554119,0.0,100.0,100.0,9,1,1,100.0,9.0,10,True,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),61.25000000000001,51.24999999999999,-10.000000000000014,percentage points,0.0887152471812442,-0.007977812527678907,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.0887152471812442,0.0,100.0,66.66666666666667,10,1,1,100.0,10.0,10,True,mean-abs-shap
agilent_noise_006,peptide,Prevalence (%),30.0,52.5,22.5,percentage points,0.08776891245506704,0.003045847499743104,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False,0.08776891245506704,0.0,100.0,100.0,11,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_002,peptide,Prevalence (%),45.0,36.25,-8.75,percentage points,0.08060926189646125,-0.0012976492755115033,Noise peptide 2,independent noise,Simulated organism,Synthetic protein 4,False,0.08060926189646125,0.0,100.0,66.66666666666667,12,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_047,peptide,Prevalence (%),47.5,43.75,-3.75,percentage points,0.07265264892484993,-0.0029527352889999747,Noise peptide 47,independent noise,Simulated organism,Synthetic protein 27,False,0.07265264892484993,0.0,100.0,66.66666666666667,13,0,1,0.0,,10,False,mean-abs-shap
twist_noise_055,peptide,Prevalence (%),42.5,32.5,-10.0,percentage points,0.06998285370646044,0.006020446855109185,Noise peptide 55,independent noise,Simulated organism,Synthetic protein 31,False,0.06998285370646044,0.0,100.0,100.0,14,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),40.0,27.500000000000004,-12.499999999999996,percentage points,0.06278205059934408,0.02008449521381408,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.06278205059934408,0.0,100.0,66.66666666666667,15,0,1,0.0,,10,False,mean-abs-shap
Sex,binary clinical,Prevalence (%),52.5,53.75,1.25,percentage points,0.05550038330256939,0.0029940133914351462,,,,,,0.05550038330256939,0.0,100.0,100.0,16,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_029,peptide,Prevalence (%),41.25,53.75,12.5,percentage points,0.05173821265925653,0.002413054119097069,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False,0.05173821265925653,0.0,100.0,100.0,17,0,1,0.0,,10,False,mean-abs-shap
