Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
agilent_signal_01,peptide,Prevalence (%),0.0,100.0,100.0,percentage points,4.364934206008911,2.384185791015625e-07,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,4.364934206008911,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_noise_056,peptide,Prevalence (%),35.0,42.5,7.5,percentage points,0.0,0.0,Noise peptide 56,independent noise,Simulated organism,Synthetic protein 31,False,0.0,0.0,0.0,0.0,49,0,1,0.0,,10,False,mean-abs-shap
twist_noise_055,peptide,Prevalence (%),47.5,37.5,-10.0,percentage points,0.0,0.0,Noise peptide 55,independent noise,Simulated organism,Synthetic protein 31,False,0.0,0.0,0.0,0.0,76,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_054,peptide,Prevalence (%),20.0,12.5,-7.5,percentage points,0.0,0.0,Noise peptide 54,independent noise,Simulated organism,Synthetic protein 30,False,0.0,0.0,0.0,0.0,23,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_053,peptide,Prevalence (%),35.0,40.0,5.0,percentage points,0.0,0.0,Noise peptide 53,independent noise,Simulated organism,Synthetic protein 30,False,0.0,0.0,0.0,0.0,48,0,1,0.0,,10,False,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),47.5,62.5,15.0,percentage points,0.0,0.0,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.0,0.0,0.0,0.0,75,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_051,peptide,Prevalence (%),45.0,45.0,0.0,percentage points,0.0,0.0,Noise peptide 51,independent noise,Simulated organism,Synthetic protein 29,False,0.0,0.0,0.0,0.0,22,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_050,peptide,Prevalence (%),30.0,20.0,-10.0,percentage points,0.0,0.0,Noise peptide 50,independent noise,Simulated organism,Synthetic protein 28,False,0.0,0.0,0.0,0.0,47,0,1,0.0,,10,False,mean-abs-shap
twist_noise_049,peptide,Prevalence (%),35.0,35.0,0.0,percentage points,0.0,0.0,Noise peptide 49,independent noise,Simulated organism,Synthetic protein 28,False,0.0,0.0,0.0,0.0,74,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_057,peptide,Prevalence (%),10.0,2.5,-7.5,percentage points,0.0,0.0,Noise peptide 57,independent noise,Simulated organism,Synthetic protein 32,False,0.0,0.0,0.0,0.0,24,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_047,peptide,Prevalence (%),62.5,50.0,-12.5,percentage points,0.0,0.0,Noise peptide 47,independent noise,Simulated organism,Synthetic protein 27,False,0.0,0.0,0.0,0.0,46,0,1,0.0,,10,False,mean-abs-shap
twist_noise_046,peptide,Prevalence (%),30.0,45.0,15.0,percentage points,0.0,0.0,Noise peptide 46,independent noise,Simulated organism,Synthetic protein 26,False,0.0,0.0,0.0,0.0,73,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_045,peptide,Prevalence (%),52.5,60.0,7.5,percentage points,0.0,0.0,Noise peptide 45,independent noise,Simulated organism,Synthetic protein 26,False,0.0,0.0,0.0,0.0,20,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),32.5,25.0,-7.5,percentage points,0.0,0.0,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.0,0.0,0.0,0.0,45,0,1,0.0,,10,False,mean-abs-shap
twist_noise_043,peptide,Prevalence (%),35.0,52.5,17.5,percentage points,0.0,0.0,Noise peptide 43,independent noise,Simulated organism,Synthetic protein 25,False,0.0,0.0,0.0,0.0,72,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_042,peptide,Prevalence (%),27.500000000000004,27.500000000000004,0.0,percentage points,0.0,0.0,Noise peptide 42,independent noise,Simulated organism,Synthetic protein 24,False,0.0,0.0,0.0,0.0,19,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_041,peptide,Prevalence (%),17.5,22.5,5.0,percentage points,0.0,0.0,Noise peptide 41,independent noise,Simulated organism,Synthetic protein 24,False,0.0,0.0,0.0,0.0,44,0,1,0.0,,10,False,mean-abs-shap
twist_noise_040,peptide,Prevalence (%),40.0,50.0,10.0,percentage points,0.0,0.0,Noise peptide 40,independent noise,Simulated organism,Synthetic protein 23,False,0.0,0.0,0.0,0.0,71,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_039,peptide,Prevalence (%),62.5,45.0,-17.5,percentage points,0.0,0.0,Noise peptide 39,independent noise,Simulated organism,Synthetic protein 23,False,0.0,0.0,0.0,0.0,18,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_038,peptide,Prevalence (%),5.0,12.5,7.5,percentage points,0.0,0.0,Noise peptide 38,independent noise,Simulated organism,Synthetic protein 22,False,0.0,0.0,0.0,0.0,43,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_048,peptide,Prevalence (%),35.0,17.5,-17.5,percentage points,0.0,0.0,Noise peptide 48,independent noise,Simulated organism,Synthetic protein 27,False,0.0,0.0,0.0,0.0,21,0,1,0.0,,10,False,mean-abs-shap
Age,continuous clinical,Mean,54.57000000000001,56.167500000000004,1.5974999999999966,feature units,0.0,0.0,,,,,,0.0,0.0,0.0,100.0,2,0,1,0.0,,10,False,mean-abs-shap
Smoking,binary clinical,Prevalence (%),30.0,22.5,-7.5,percentage points,0.0,0.0,,,,,,0.0,0.0,0.0,100.0,5,0,1,0.0,,10,False,mean-abs-shap
Sex,binary clinical,Prevalence (%),50.0,47.5,-2.5,percentage points,0.0,0.0,,,,,,0.0,0.0,0.0,100.0,4,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_074,peptide,Prevalence (%),27.500000000000004,32.5,4.9999999999999964,percentage points,0.0,0.0,Noise peptide 74,independent noise,Simulated organism,Synthetic protein 40,False,0.0,0.0,0.0,0.0,55,0,1,0.0,,10,False,mean-abs-shap
twist_noise_073,peptide,Prevalence (%),35.0,35.0,0.0,percentage points,0.0,0.0,Noise peptide 73,independent noise,Simulated organism,Synthetic protein 40,False,0.0,0.0,0.0,0.0,82,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_072,peptide,Prevalence (%),37.5,25.0,-12.5,percentage points,0.0,0.0,Noise peptide 72,independent noise,Simulated organism,Synthetic protein 39,False,0.0,0.0,0.0,0.0,29,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_071,peptide,Prevalence (%),22.5,10.0,-12.5,percentage points,0.0,0.0,Noise peptide 71,independent noise,Simulated organism,Synthetic protein 39,False,0.0,0.0,0.0,0.0,54,0,1,0.0,,10,False,mean-abs-shap
BMI,continuous clinical,Mean,25.1125,25.3025,0.18999999999999773,feature units,0.0,0.0,,,,,,0.0,0.0,0.0,100.0,3,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_069,peptide,Prevalence (%),12.5,7.5,-5.0,percentage points,0.0,0.0,Noise peptide 69,independent noise,Simulated organism,Synthetic protein 38,False,0.0,0.0,0.0,0.0,28,0,1,0.0,,10,False,mean-abs-shap
twist_noise_058,peptide,Prevalence (%),27.500000000000004,30.0,2.4999999999999964,percentage points,0.0,0.0,Noise peptide 58,independent noise,Simulated organism,Synthetic protein 32,False,0.0,0.0,0.0,0.0,77,0,1,0.0,,10,False,mean-abs-shap
twist_noise_067,peptide,Prevalence (%),22.5,20.0,-2.5,percentage points,0.0,0.0,Noise peptide 67,independent noise,Simulated organism,Synthetic protein 37,False,0.0,0.0,0.0,0.0,80,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_066,peptide,Prevalence (%),65.0,45.0,-20.0,percentage points,0.0,0.0,Noise peptide 66,independent noise,Simulated organism,Synthetic protein 36,False,0.0,0.0,0.0,0.0,27,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_065,peptide,Prevalence (%),27.500000000000004,22.5,-5.0000000000000036,percentage points,0.0,0.0,Noise peptide 65,independent noise,Simulated organism,Synthetic protein 36,False,0.0,0.0,0.0,0.0,52,0,1,0.0,,10,False,mean-abs-shap
twist_noise_064,peptide,Prevalence (%),30.0,15.0,-15.0,percentage points,0.0,0.0,Noise peptide 64,independent noise,Simulated organism,Synthetic protein 35,False,0.0,0.0,0.0,0.0,79,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_063,peptide,Prevalence (%),27.500000000000004,15.0,-12.500000000000004,percentage points,0.0,0.0,Noise peptide 63,independent noise,Simulated organism,Synthetic protein 35,False,0.0,0.0,0.0,0.0,26,0,1,0.0,,10,False,mean-abs-shap
