Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Role,Species,Protein,is_demo_signal,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
twist_signal_05,peptide,Prevalence (%),32.5,70.0,37.5,percentage points,1.7432788826525212,-0.14106253609061242,Synthetic signal 5,engineered signal,Simulated organism,Synthetic protein 3,True,1.7432788826525212,0.0,100.0,100.0,1,1,1,100.0,1.0,10,True,mean-abs-shap
corona2_signal_03,peptide,Prevalence (%),32.5,65.0,32.5,percentage points,1.4872897654771804,-0.033843666315078735,Synthetic signal 3,engineered signal,Simulated organism,Synthetic protein 2,True,1.4872897654771804,0.0,100.0,100.0,2,1,1,100.0,2.0,10,True,mean-abs-shap
twist_signal_02,peptide,Prevalence (%),62.5,47.5,-15.0,percentage points,1.2418190859258176,-0.08392476215958596,Synthetic signal 2,engineered signal,Simulated organism,Synthetic protein 1,True,1.2418190859258176,0.0,100.0,100.0,3,1,1,100.0,3.0,10,True,mean-abs-shap
corona2_signal_06,peptide,Prevalence (%),60.0,60.0,0.0,percentage points,1.2182002797722817,-0.046480634808540346,Synthetic signal 6,engineered signal,Simulated organism,Synthetic protein 3,True,1.2182002797722817,0.0,100.0,100.0,4,1,1,100.0,4.0,10,True,mean-abs-shap
agilent_signal_01,peptide,Prevalence (%),27.500000000000004,62.5,35.0,percentage points,0.8913334555923939,-0.24715807288885117,Synthetic signal 1,engineered signal,Simulated organism,Synthetic protein 1,True,0.8913334555923939,0.0,100.0,100.0,5,1,1,100.0,5.0,10,True,mean-abs-shap
agilent_signal_04,peptide,Prevalence (%),67.5,37.5,-30.0,percentage points,0.6761026069521904,-0.09544234275817871,Synthetic signal 4,engineered signal,Simulated organism,Synthetic protein 2,True,0.6761026069521904,0.0,100.0,100.0,6,1,1,100.0,6.0,10,True,mean-abs-shap
BMI,continuous clinical,Mean,24.567500000000003,24.640000000000004,0.07250000000000156,feature units,0.5336283823475242,-0.16031506191939116,,,,,,0.5336283823475242,0.0,100.0,100.0,7,1,1,100.0,7.0,10,True,mean-abs-shap
agilent_noise_006,peptide,Prevalence (%),32.5,37.5,5.0,percentage points,0.3911808105185628,-0.04947124626487494,Noise peptide 6,independent noise,Simulated organism,Synthetic protein 6,False,0.3911808105185628,0.0,100.0,100.0,8,1,1,100.0,8.0,10,True,mean-abs-shap
corona2_noise_059,peptide,Prevalence (%),32.5,25.0,-7.5,percentage points,0.33640369065105913,0.08157588876783847,Noise peptide 59,independent noise,Simulated organism,Synthetic protein 33,False,0.33640369065105913,0.0,100.0,100.0,9,1,1,100.0,9.0,10,True,mean-abs-shap
corona2_noise_044,peptide,Prevalence (%),32.5,40.0,7.5,percentage points,0.33461591340601443,0.010764206945896148,Noise peptide 44,independent noise,Simulated organism,Synthetic protein 25,False,0.33461591340601443,0.0,100.0,100.0,10,1,1,100.0,10.0,10,True,mean-abs-shap
twist_noise_052,peptide,Prevalence (%),50.0,60.0,10.0,percentage points,0.3139671145007014,0.006957388855516911,Noise peptide 52,independent noise,Simulated organism,Synthetic protein 29,False,0.3139671145007014,0.0,100.0,100.0,11,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_011,peptide,Prevalence (%),32.5,42.5,10.0,percentage points,0.26760088447481395,-0.0013113217428326607,Noise peptide 11,independent noise,Simulated organism,Synthetic protein 9,False,0.26760088447481395,0.0,100.0,100.0,12,0,1,0.0,,10,False,mean-abs-shap
twist_noise_037,peptide,Prevalence (%),25.0,40.0,15.0,percentage points,0.22721688663586975,-0.03593033654615283,Noise peptide 37,independent noise,Simulated organism,Synthetic protein 22,False,0.22721688663586975,0.0,100.0,100.0,13,0,1,0.0,,10,False,mean-abs-shap
twist_noise_007,peptide,Prevalence (%),40.0,22.5,-17.5,percentage points,0.2065603779628873,0.04374963734298944,Noise peptide 7,independent noise,Simulated organism,Synthetic protein 7,False,0.2065603779628873,0.0,100.0,100.0,14,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_068,peptide,Prevalence (%),52.5,45.0,-7.5,percentage points,0.19706686213612556,-0.0029006380587816238,Noise peptide 68,independent noise,Simulated organism,Synthetic protein 37,False,0.19706686213612556,0.0,100.0,100.0,15,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_039,peptide,Prevalence (%),45.0,52.5,7.5,percentage points,0.1714066259562969,-0.009894638881087303,Noise peptide 39,independent noise,Simulated organism,Synthetic protein 23,False,0.1714066259562969,0.0,100.0,100.0,16,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_029,peptide,Prevalence (%),42.5,47.5,5.0,percentage points,0.16089514261111618,-0.02340547936037183,Noise peptide 29,independent noise,Simulated organism,Synthetic protein 18,False,0.16089514261111618,0.0,100.0,100.0,17,0,1,0.0,,10,False,mean-abs-shap
Sex,binary clinical,Prevalence (%),45.0,50.0,5.0,percentage points,0.15836828332394362,0.031417884118855,,,,,,0.15836828332394362,0.0,100.0,100.0,18,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_051,peptide,Prevalence (%),40.0,42.5,2.5,percentage points,0.14611463113687934,-0.019993613520637155,Noise peptide 51,independent noise,Simulated organism,Synthetic protein 29,False,0.14611463113687934,0.0,100.0,100.0,19,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_048,peptide,Prevalence (%),45.0,22.5,-22.5,percentage points,0.1460930563043803,0.0031239073257893326,Noise peptide 48,independent noise,Simulated organism,Synthetic protein 27,False,0.1460930563043803,0.0,100.0,100.0,20,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_024,peptide,Prevalence (%),25.0,20.0,-5.0,percentage points,0.12088612727820873,0.003992928937077522,Noise peptide 24,independent noise,Simulated organism,Synthetic protein 15,False,0.12088612727820873,0.0,100.0,100.0,21,0,1,0.0,,10,False,mean-abs-shap
twist_noise_049,peptide,Prevalence (%),40.0,40.0,0.0,percentage points,0.10954322102479637,-0.007143339468166232,Noise peptide 49,independent noise,Simulated organism,Synthetic protein 28,False,0.10954322102479637,0.0,100.0,100.0,22,0,1,0.0,,10,False,mean-abs-shap
corona2_noise_005,peptide,Prevalence (%),37.5,40.0,2.5,percentage points,0.09703036677092314,-0.01436457047238946,Noise peptide 5,independent noise,Simulated organism,Synthetic protein 6,False,0.09703036677092314,0.0,100.0,100.0,23,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_066,peptide,Prevalence (%),52.5,67.5,15.0,percentage points,0.08497723382897675,-0.019521989254280926,Noise peptide 66,independent noise,Simulated organism,Synthetic protein 36,False,0.08497723382897675,0.0,100.0,100.0,24,0,1,0.0,,10,False,mean-abs-shap
agilent_noise_060,peptide,Prevalence (%),52.5,35.0,-17.5,percentage points,0.07677305825054645,0.010113336890935899,Noise peptide 60,independent noise,Simulated organism,Synthetic protein 33,False,0.07677305825054645,0.0,100.0,100.0,25,0,1,0.0,,10,False,mean-abs-shap
