model,scenario,seed,evaluation,n,roc_auc,average_precision,accuracy,f1,roc_auc_fold_sd,ap_fold_sd,roc_auc_ci_lower,roc_auc_ci_upper,ap_ci_lower,ap_ci_upper,pooled_score_auc,pooled_score_ap,path
random-forest,01_perfect,420,outer CV,160,1.0,1.0,1.0,1.0,0.0,0.0,,,,,1.0,1.0,results/random-forest/01_perfect/nested_random-forest_01_perfect_420.joblib
random-forest,02_noisy,420,outer CV,160,0.9124635081425204,0.9082374970535806,0.80625,0.8098159509202454,0.028278134054195117,0.029775080303940615,,,,,0.908671875,0.9036730207237139,results/random-forest/02_noisy/nested_random-forest_02_noisy_420.joblib
random-forest,03_noisy_tuned,420,outer CV,160,0.9113467693714608,0.915266442887785,0.825,0.8292682926829268,0.038206133402489954,0.044030244553666595,,,,,0.9125,0.9182705444410877,results/random-forest/03_noisy_tuned/nested_random-forest_03_noisy_tuned_420.joblib
random-forest,04_external_perfect,420,external,80,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,results/random-forest/04_external_perfect/validation_random-forest_04_external_perfect_420.joblib
random-forest,05_external_noisy,420,external,80,0.81,0.8434222045413027,0.7125,0.684931506849315,,,0.7087890625000001,0.8975624999999999,0.7685979807282863,0.9144344274756318,0.81,0.8434222045413027,results/random-forest/05_external_noisy/validation_random-forest_05_external_noisy_420.joblib
random-forest,06_external_noisy_tuned,420,external,80,0.805625,0.8052187730041486,0.7125,0.6933333333333334,,,0.7049375,0.89375,0.7078286459313241,0.8999386161523376,0.805625,0.8052187730041486,results/random-forest/06_external_noisy_tuned/validation_random-forest_06_external_noisy_tuned_420.joblib
random-forest,08_reuse_noisy,420,external,80,0.805625,0.8052187730041486,0.7125,0.6933333333333334,,,0.7049375,0.89375,0.7078286459313241,0.8999386161523376,0.805625,0.8052187730041486,results/random-forest/08_reuse_noisy/validation_random-forest_08_reuse_noisy_420.joblib
random-forest,repeated_noisy,420,outer CV,160,0.9124635081425204,0.9082374970535806,0.80625,0.8098159509202454,0.028278134054195117,0.029775080303940615,,,,,0.908671875,0.9036730207237139,results/random-forest/repeated_noisy/nested_random-forest_02_noisy_420.joblib
random-forest,repeated_noisy,421,outer CV,160,0.9021314762055503,0.8905252319983706,0.8,0.7974683544303798,0.024545373332161263,0.04049633188032027,,,,,0.90734375,0.8974650965375323,results/random-forest/repeated_noisy/nested_random-forest_02_noisy_421.joblib
random-forest,repeated_noisy,422,outer CV,160,0.9174844360029546,0.9155621630348473,0.8,0.8072289156626506,0.03201925221762902,0.028378415519116486,,,,,0.9140625000000001,0.9064574162749045,results/random-forest/repeated_noisy/nested_random-forest_02_noisy_422.joblib
xgboost,01_perfect,420,outer CV,160,1.0,1.0,1.0,1.0,0.0,0.0,,,,,1.0,1.0,results/xgboost/01_perfect/nested_xgboost_01_perfect_420.joblib
xgboost,02_noisy,420,outer CV,160,0.9173789173789174,0.9213159291635616,0.85625,0.8588957055214724,0.0376887651148803,0.04459009001078873,,,,,0.92265625,0.9233798175421487,results/xgboost/02_noisy/nested_xgboost_02_noisy_420.joblib
xgboost,03_noisy_tuned,420,outer CV,160,0.9262776546727164,0.9277217690496582,0.8375,0.8433734939759037,0.030364546331637834,0.03668251721989242,,,,,0.9273437499999999,0.9245054920807692,results/xgboost/03_noisy_tuned/nested_xgboost_03_noisy_tuned_420.joblib
xgboost,04_external_perfect,420,external,80,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,results/xgboost/04_external_perfect/validation_xgboost_04_external_perfect_420.joblib
xgboost,05_external_noisy,420,external,80,0.8268749999999999,0.8253406396972958,0.7625,0.7323943661971831,,,0.72809375,0.9203281249999999,0.7302167711690969,0.9305161008976517,0.8268749999999999,0.8253406396972958,results/xgboost/05_external_noisy/validation_xgboost_05_external_noisy_420.joblib
xgboost,06_external_noisy_tuned,420,external,80,0.8084375,0.8036503579229547,0.7375,0.704225352112676,,,0.70553125,0.905625,0.7067172726038697,0.9193605062936736,0.8084375,0.8036503579229547,results/xgboost/06_external_noisy_tuned/validation_xgboost_06_external_noisy_tuned_420.joblib
xgboost,08_reuse_noisy,420,external,80,0.8084375,0.8036503579229547,0.7375,0.704225352112676,,,0.70553125,0.905625,0.7067172726038697,0.9193605062936736,0.8084375,0.8036503579229547,results/xgboost/08_reuse_noisy/validation_xgboost_08_reuse_noisy_420.joblib
